Time_s,H2_Flow_LPM,H2_Generation_m3_s
1,0,0
2,16.11,0.000268485
3,19.65,0.000327445
4,23.45,0.000390888
5,27.5,0.000458333
6,31.76,0.000529267
7,36.19,0.000603148
8,40.76,0.000679416
9,45.45,0.000757489
10,50.21,0.000836774
11,55,0.000916667
12,59.79,0.000996559
13,64.55,0.001075844
14,69.24,0.001153917
15,73.81,0.001230185
16,78.24,0.001304067
17,82.5,0.001375
18,86.55,0.001442445
19,90.35,0.001505889
20,93.89,0.001564848
21,97.13,0.001618874
22,100.05,0.001667556
23,102.63,0.001710523
24,104.85,0.001747449
25,106.68,0.001778052
26,108.13,0.001802099
27,109.16,0.001819407
28,109.79,0.001829845
29,110,0.001833333
30,109.81,0.001830138
31,109.24,0.001820586
32,108.29,0.001804783
33,106.97,0.001782902
34,105.31,0.001755181
35,103.32,0.001721927
36,101.01,0.001683501
37,98.42,0.001640326
38,95.57,0.001592875
39,92.5,0.001541667
40,89.24,0.001487263
41,85.82,0.00143026
42,82.28,0.001371282
43,78.66,0.001310975
44,75,0.00125
45,71.34,0.001189025
46,67.72,0.001128718
47,64.18,0.00106974
48,60.76,0.001012737
49,57.5,0.000958333
50,54.43,0.000907125
51,51.58,0.000859674
52,48.99,0.000816499
53,46.68,0.000778073
54,44.69,0.000744819
55,43.03,0.000717098
56,41.71,0.000695217
57,40.76,0.000679414
58,40.19,0.000669862
59,40,0.000666667
60,40.05,0.000667459
61,40.19,0.000669832
62,40.43,0.000673765
63,40.75,0.000679231
64,41.17,0.000686186
65,41.67,0.000694578
66,42.26,0.000704343
67,42.92,0.000715407
68,43.66,0.000727686
69,44.47,0.000741086
70,45.33,0.000755505
71,46.25,0.000770833
72,47.22,0.000786955
73,48.22,0.000803746
74,49.26,0.000821079
75,50.33,0.000838823
76,51.41,0.000856843
77,52.5,0.000875
78,53.59,0.000893157
79,54.67,0.000911177
80,55.74,0.000928921
81,56.78,0.000946254
82,57.78,0.000963045
83,58.75,0.000979167
84,59.67,0.000994495
85,60.53,0.001008914
86,61.34,0.001022314
87,62.08,0.001034593
88,62.74,0.001045657
89,63.33,0.001055422
90,63.83,0.001063814
91,64.25,0.001070769
92,64.57,0.001076235
93,64.81,0.001080168
94,64.95,0.001082541
95,65,0.001083333
96,64.96,0.00108272
97,64.85,0.001080881
98,64.67,0.00107782
99,64.41,0.001073545
100,64.08,0.001068065
101,63.68,0.001061392
102,63.21,0.001053542
103,62.67,0.001044533
104,62.06,0.001034384
105,61.39,0.001023119
106,60.65,0.001010764
107,59.84,0.000997346
108,58.97,0.000982895
109,58.05,0.000967445
110,57.06,0.000951031
111,56.02,0.000933689
112,54.93,0.000915459
113,53.78,0.000896383
114,52.59,0.000876503
115,51.35,0.000855864
116,50.07,0.000834514
117,48.75,0.0008125
118,47.39,0.000789873
119,46,0.000766683
120,44.58,0.000742984
121,43.13,0.000718828
122,41.66,0.000694272
123,40.16,0.000669369
124,38.65,0.000644178
125,37.13,0.000618754
126,35.59,0.000593155
127,34.05,0.00056744
128,32.5,0.000541667
129,30.95,0.000515893
130,29.41,0.000490178
131,27.87,0.000464579
132,26.35,0.000439156
133,24.84,0.000413964
134,23.34,0.000389062
135,21.87,0.000364505
136,20.42,0.00034035
137,19,0.00031665
138,17.61,0.000293461
139,16.25,0.000270833
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,16.54,0.0002756
241,18.12,0.00030196
242,19.74,0.00032899
243,21.4,0.000356598
244,23.08,0.000384692
245,24.79,0.000413176
246,26.52,0.000441954
247,28.26,0.000470928
248,30,0.0005
249,31.74,0.000529072
250,33.48,0.000558046
251,35.21,0.000586824
252,36.92,0.000615308
253,38.6,0.000643402
254,40.26,0.00067101
255,41.88,0.00069804
256,43.46,0.0007244
257,45,0.00075
258,46.49,0.000774754
259,47.91,0.000798579
260,49.28,0.000821394
261,50.59,0.000843121
262,51.82,0.000863687
263,52.98,0.000883022
264,54.06,0.000901062
265,55.06,0.000917744
266,55.98,0.000933013
267,56.81,0.000946816
268,57.55,0.000959108
269,58.19,0.000969846
270,58.74,0.000978995
271,59.19,0.000986522
272,59.54,0.000992404
273,59.8,0.000996619
274,59.95,0.000999154
275,60,0.001
276,59.94,0.000999021
277,59.77,0.000996091
278,59.47,0.000991225
279,59.07,0.00098445
280,58.55,0.000975806
281,57.92,0.000965339
282,57.19,0.000953109
283,56.35,0.000939184
284,55.42,0.000923641
285,54.39,0.000906568
286,53.28,0.00088806
287,52.09,0.000868221
288,50.83,0.000847162
289,49.5,0.000825
290,48.11,0.000801859
291,46.67,0.000777869
292,45.19,0.000753164
293,43.67,0.000727882
294,42.13,0.000702165
295,40.57,0.000676156
296,39,0.00065
297,37.43,0.000623844
298,35.87,0.000597835
299,34.33,0.000572118
300,32.81,0.000546836
301,31.33,0.000522131
302,29.89,0.000498141
303,28.5,0.000475
304,27.17,0.000452838
305,25.91,0.000431779
306,24.72,0.00041194
307,23.61,0.000393432
308,22.58,0.000376359
309,21.65,0.000360816
310,20.81,0.000346891
311,20.08,0.000334661
312,19.45,0.000324194
313,18.93,0.00031555
314,18.53,0.000308775
315,18.23,0.000303909
316,18.06,0.000300979
317,18,0.0003
318,18.04,0.000300592
319,18.14,0.000302367
320,18.32,0.000305317
321,18.57,0.000309434
322,18.88,0.000314704
323,19.27,0.000321108
324,19.72,0.000328624
325,20.23,0.000337229
326,20.81,0.000346891
327,21.45,0.000357579
328,22.16,0.000369257
329,22.91,0.000381884
330,23.73,0.000395419
331,24.59,0.000409815
332,25.5,0.000425024
333,26.46,0.000440994
334,27.46,0.000457672
335,28.5,0.000475
336,29.58,0.00049292
337,30.68,0.000511372
338,31.82,0.000530293
339,32.98,0.000549619
340,34.16,0.000569284
341,35.35,0.000589223
342,36.56,0.000609367
343,37.78,0.000629649
344,39,0.00065
345,40.22,0.000670351
346,41.44,0.000690633
347,42.65,0.000710777
348,43.84,0.000730716
349,45.02,0.000750381
350,46.18,0.000769707
351,47.32,0.000788628
352,48.42,0.00080708
353,49.5,0.000825
354,50.54,0.000842328
355,51.54,0.000859006
356,52.5,0.000874976
357,53.41,0.000890185
358,54.27,0.000904581
359,55.09,0.000918116
360,55.84,0.000930743
361,56.55,0.000942421
362,57.19,0.000953109
363,57.77,0.000962771
364,58.28,0.000971376
365,58.73,0.000978892
366,59.12,0.000985296
367,59.43,0.000990566
368,59.68,0.000994683
369,59.86,0.000997633
370,59.96,0.000999408
371,60,0.001
372,59.92,0.000998602
373,59.66,0.000994415
374,59.25,0.000987464
375,58.67,0.000977786
376,57.93,0.000965437
377,57.03,0.000950484
378,55.98,0.000933013
379,54.79,0.000913119
380,53.45,0.000890916
381,51.99,0.000866526
382,50.41,0.000840086
383,48.7,0.000811745
384,46.9,0.00078166
385,45,0.00075
386,43.02,0.000716942
387,40.96,0.000682671
388,38.84,0.000647378
389,36.68,0.00061126
390,34.47,0.000574521
391,32.24,0.000537365
392,30,0.0005
393,27.76,0.000462635
394,25.53,0.000425479
395,23.32,0.00038874
396,21.16,0.000352622
397,19.04,0.000317329
398,16.98,0.000283058
399,15,0.00025
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
